,tweets,sentiment
40,"Tiket Formula E Jakarta Dijual Mulai Rp 350 Ribu, Lebih Mahal Dibanding MotoGP Mandalika"
41,"#MostPopuler Tiket Formula E Jakarta Ternyata Lebih Mahal Dibanding di Jerman dan AS, tapi...."
42,"Tiket Formula E di Jerman dan AS Ternyata Lebih Murah dari Jakarta, tapi...."
43,"Jakarta E-Prix, Tiket Formula E Jakarta Dijual Mulai Rp 350 Ribu, Ini Daftar Lengkapnya"
44,Ayo diborong diborong.... 🤣🤣🤣🤣🤣Gw sih ogah 🤣🤣🤣🤣🤣Panitia sudah mengumumkan harga tiket Formula E Jakarta (Jakarta E-Prix) yang dijual mulai Rp 350 ribu. Ini perbandingannya dengan harga tiket MotoGP mandalika.
45,"Wagub DKI Jakarta Ahmad Riza Patria mengatakan, selain di tribune, penonton Formula E akan disebar di kelas festival dan VIP."
46,"Jakarta Internasional Eprix , nama sirkuit formula E"
47,"Sirkuitnya sudah jadi kok kalian minta gelaran formula E ditunda..Gara-gara Hal Ini, PDIP Minta Balapan Formula E Jakarta Ditunda"
48,"Usai molor lima bulan, akhirnya panitia Formula E Jakarta mengumumkan kepastian tiket Formula E. Berikut beberapa hal soal tiket balap mobil listrik tersebut."
49,"#MostPopuler Tiket Formula E Jakarta Dijual Mulai Rp 350 Ribu, Lebih Mahal Dibanding MotoGP Mandalika"
50,"Ada konser di formula E adalah upaya agar masyarakat datang . Rugi tidak masalah, yg penting kan terlihat ramai dan sukses. Modal dari APBD alias uang rakyat bukan pribadi. Nangis ngak rakyat Jakarta?4 Urusan Tiket Formula E Usai Pengumuman Molor 5 Bulan"
51,panitia penyelenggara Formula E Jakarta (Jakarta E-Prix) menyebutkan minimal sebanyak 50 ribu tiket siap dijual dengan harga paling rendah mencapai Rp350 ribu hingga jutaan
52,Wagub DKI Jakarta Ahmad Riza Patria memastikan penonton Formula E tetap di target awal sebesar 50 ribu orang. Dia menyebut 10 ribu hanya kapasitas tribun.
53,"..BAGINDA KERJANYA MOLOR MELULUPembangunan Sirkuit rencana 54 harikenyataannya .. MOLORPenjualan Tiket? .. MOLORSponsor ?? .. MOLOR..60 Hari Jelang Formula E Jakarta, Penjualan Tiket Molor Lima Bulan dari Rencana Awal"
54,BK DPRD DKI Jakarta Putuskan tak Ada Malaadministrasi dalam Paripurna Interpelasi Formula E  -  #IDCORNER
55,Mau Nonton Formula E di Jakarta? Kisaran Harga Tiketnya akandijual dengan harga terendah Rp 350.000. Tiket akan mulai dijual setelah Lebaransebanyak 50.000 lembar.
